DIMENSION_MACRO,IES ANONIMIZADA,SUBDIMENSIÓN,VARIABLE,INDICADOR,RESULTADO
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA COLABORATIVA,COCREACIÓN DE INFORMACIÓN CON LA CIUDADANÍA,EXISTENCIA DE PROYECTOS DE TRANSPARENCIA CO-CREADOS CON LA COMUNIDAD,6.25
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA COLABORATIVA,COCREACIÓN DE INFORMACIÓN CON LA CIUDADANÍA,LA INSTITUCIÓN PRESENTA DATASETS O INFORMES GENERADOS JUNTO CON ACTORES EXTERNOS,18.75
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA COLABORATIVA,MECANISMOS DE COLABORACIÓN,"EXISTEN ESPACIOS PARTICIPATIVOS EN TEMAS DE TRANSPARENCIA (FOROS, LABORATORIOS, HACKATHONS)",100.0
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA COLABORATIVA,NIVEL DE INTERACCIÓN,"EXISTEN PLATAFORMAS COLABORATIVAS INSTITUCIONALES QUE EVIDENCIEN (VISITAS, APORTES)",0.0
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA COLABORATIVA,RETROALIMENTACIÓN PÚBLICA,EXISTENCIA DE CANALES DE COMENTARIOS O SUGERENCIAS,62.5
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA FOCALIZADA,ACCESIBILIDAD DIFERENCIADA,"DISPONIBILIDAD DE VERSIONES INCLUSIVAS (LECTURA FÁCIL, BRAILLE, MULTIMEDIA)",58.33
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA FOCALIZADA,CLARIDAD Y LENGUAJE CIUDADANO,NIVEL DE COMPRENSIÓN DE LA INFORMACIÓN PUBLICADA,33.33
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA FOCALIZADA,IDENTIFICACIÓN DE PÚBLICOS OBJETIVO,"EXISTENCIA DE MAPEO DE GRUPOS DE INTERÉS (ESTUDIANTES, DOCENTES, CIUDADANÍA)",35.0
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA FOCALIZADA,INFORMACIÓN SECTORIAL PRIORIZADA,"EXISTE INFORMACIÓN, PUBLICACIONES DE TEMAS ESPECÍFICOS CON INFORMACIÓN DIRIGIDA (P. EJ. BECAS, PRESUPUESTOS, INVESTIGACIONES)",93.75
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA PASIVA,CALIDAD DE RESPUESTA Y SATISFACCIÓN DEL SOLICITANTE,LAS RESPUESTAS SE COMPLETAN SATISFACTORIAMENTE POR PARTE DE LA INSTITUCIÓN,83.33
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA PASIVA,CALIDAD DE RESPUESTA Y SATISFACCIÓN DEL SOLICITANTE,LOS USUARIOS ESTÁN SATISFECHOS CON EL SERVICIO,75.0
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA PASIVA,MECANISMOS DE ACCESO,"EXISTEN VARIOS CANALES DISPONIBLES DE ACCESO A LA INFORMACIÓN (PRESENCIAL, WEB, CORREO, ETC.)",66.67
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA PASIVA,PROCEDIMIENTO INSTITUCIONAL,"EXISTENCIA DE REGLAMENTO, PROTOCOLO, FORMATO DE SOLICITUDES",68.75
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA PASIVA,PUBLICACIÓN DE SOLICITUDES FRECUENTES (FAǪ),EXISTENCIA DE REPOSITORIO PÚBLICO DE SOLICITUDES RECURRENTES,41.67
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA PASIVA,TIEMPOS DE RESPUESTA,PLAZOS PREDEFINIDOS PARA RESPUESTA A SOLICITUDES DE INFORMACIÓN,87.5
Comunicación,UNIVERSIDAD 2,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,ACCESIBILIDAD Y LENGUAJE CIUDADANO,"GRADO DE IMPLEMENTACIÓN DE ""LENGUAJE CLARO"" Y ESTÁNDARES WCAG EN LA COMUNICACIÓN.",66.67
Comunicación,UNIVERSIDAD 2,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,CANALES DE INTERACCIÓN Y RESPUESTA,"EXISTENCIA DE RESPUESTA EFECTIVA POR CANALES OFICIALES (REDES SOCIALES, BUZONES, CHAT).",75.0
Comunicación,UNIVERSIDAD 2,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,ESTRATEGIA DE COMUNICACIÓN INSTITUCIONAL,NIVEL DE ALINEACIÓN DE LA ESTRATEGIA DE COMUNICACIÓN CON LOS PRINCIPIOS DE GOBIERNO ABIERTO,75.0
Comunicación,UNIVERSIDAD 2,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,RENDICIÓN DE CUENTAS PARTICIPATIVA,PERIODICIDAD DE PUBLICACIÓN DE INFORMES DE GESTIÓN EN BASE A NORMATIVA VIGENTE,75.0
Comunicación,UNIVERSIDAD 2,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,RENDICIÓN DE CUENTAS PARTICIPATIVA,TIPO DE PARTICIPACIÓN EN ACTOS DE RENDICIÓN,81.25
Comunicación,UNIVERSIDAD 2,COMUNICACIÓN Y RENDICIÓN DE CUENTAS,SEGUIMIENTO Y CUMPLIMIENTO DE COMPROMISOS,EXISTENCIA DE DOCUMENTOS QUE CERTIFIQUEN EL SEGUIMIENTO Y CUMPLIMIENTO DE COMPROMISOS,50.0
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,CALIDAD / UTILIDAD DE LA INFORMACIÓN ACADÉMICA PUBLICADA,PERTINENCIA Y RELEVANCIA DE LA INFORMACIÓN PUBLICADA,50.0
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,CLARIDAD DE LA INFORMACIÓN PRESENTADA,CLARIDAD DE LA INFORMACIÓN,83.33
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,EL FORMATO EN QUE SE PUBLICA LA INFORMACIÓN,"CUMPLIMIENTO DE CRITERIOS DE DATOS ABIERTOS (DISPONIBLE, ACCESIBLE, INTEROPERABLE, REUTILIZABLE)",25.0
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,FACILIDAD PARA ACCEDER A LA INFORMACIÓN ACADÉMICA,NIVEL DE FACILIDAD DE ACCESO,62.5
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA ACCESIBILIDAD,INFORMACIÓN ACADÉMICA PUBLICADA,EXISTENCIA DE INFORMACIÓN ACADÉMICA PUBLICADA,66.67
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA ACTUALIZACIÓN DE INFORMACIÓN,ACTUALIZACIÓN DE LA PLANTILLA DOCENTE,PRECISIÓN DEL DIRECTORIO ACADÉMICO,50.0
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA ACTUALIZACIÓN DE INFORMACIÓN,OPORTUNIDAD EN EL CALENDARIO ACADÉMICO,ANTELACIÓN DE PUBLICACIÓN DE FECHAS.,25.0
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA ACTUALIZACIÓN DE INFORMACIÓN,VIGENCIA DE LA NORMATIVA EDUCATIVA,VIGENCIA DEL MARCO REGULATORIO,58.33
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA ACTUALIZACIÓN DE INFORMACIÓN,VIGENCIA DE LA OFERTA ACADÉMICA,"EXISTENCIA DE INFORMACIÓN QUE DÉ A CONOCER LA VIGENCIA DE LA OFERTA ACADÉMICA, ADEMÁS DE UN HISTORIAL DE PUBLICACIONES",8.33
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,PUBLICACIÓN PERIÓDICA DE INFORMACIÓN Y RESULTADOS DE VINCULACIÓN,CUMPLIMIENTO EN LA PERIODICIDAD DE ACTUALIZACIÓN DE INFORMACIÓN,0.0
Información Académica,UNIVERSIDAD 2,INFORMACIÓN ACADÉMICA DIFUSIÓN DE RESULTADOS,PUBLICACIÓN PERIÓDICA DE INFORMACIÓN Y RESULTADOS DE VINCULACIÓN,EXISTENCIA DE INFORMACIÓN PUBLICADA RELATIVA A RESULTADOS DE VINCULACIÓN Y TRANSFERENCIA DE CONOCIMIENTO,8.33
